query,milliseconds
q1,58506
q2,11540
q3,29019
q4,16655
q5,44606
q6,7266
q7,19778
q8,51273
q9,95758
q10,24237
q11,8877
q12,17293
q13,23622
q14,8939
q15,22891
q16,11009
q17,64473
q18,65706
q19,10493
q20,16386
q21,98264
q22,9348
