query,milliseconds
q1,63775
q2,11780
q3,31042
q4,17915
q5,49343
q6,7508
q7,21601
q8,54756
q9,86612
q10,25202
q11,9168
q12,16323
q13,24365
q14,10463
q15,21851
q16,12500
q17,68180
q18,75269
q19,10804
q20,16768
q21,94497
q22,10082
