query,milliseconds
q1,64276
q2,11240
q3,28966
q4,18188
q5,47397
q6,6517
q7,20701
q8,52066
q9,78686
q10,26949
q11,8839
q12,16908
q13,27578
q14,10064
q15,21865
q16,11788
q17,64833
q18,71768
q19,10821
q20,17224
q21,104865
q22,10310
