query,milliseconds
q1,64335
q2,12711
q3,32036
q4,18815
q5,51364
q6,7709
q7,23189
q8,59059
q9,94654
q10,26544
q11,9576
q12,18476
q13,27538
q14,10766
q15,23792
q16,12756
q17,72355
q18,78707
q19,11799
q20,18081
q21,110363
q22,10865
