start,end
1747683344,1747683396
1747683344,1747683364
1747683345,1747683542
1747683348,1747683785
1747683345,1747683550
1747683345,1747683503
1747683345,1747683561
1747683345,1747683522
1747683345,1747683525
1747683345,1747683564
1747683346,1747683569
1747683345,1747683572
1747683346,1747683565
1747683344,1747683392
1747683346,1747683639
1747683346,1747683652
1747683346,1747683651
1747683346,1747683659
1747683346,1747683648
1747683346,1747683647
1747683345,1747683503
1747683346,1747683659
1747683349,1747683889
1747683345,1747683553
1747683344,1747683402
1747683346,1747683662
1747683345,1747683551
1747683347,1747683667
1747683347,1747683669
1747683345,1747683547
1747683347,1747683671
1747683345,1747683504
1747683347,1747683684
1747683344,1747683448
1747683344,1747683397
1747683344,1747683423
1747683344,1747683404
1747683344,1747683399
1747683344,1747683425
1747683344,1747683395
1747683344,1747683424
1747683344,1747683401
1747683344,1747683362
1747683344,1747683418
1747683346,1747683613
1747683344,1747683361
1747683344,1747683423
1747683346,1747683643
1747683346,1747683595
1747683345,1747683497
1747683345,1747683497
1747683345,1747683499
1747683345,1747683511
1747683346,1747683653
1747683346,1747683659
1747683345,1747683518
1747683346,1747683661
1747683346,1747683644
1747683347,1747683695
1747683344,1747683363
1747683347,1747683679
1747683347,1747683694
1747683347,1747683691
1747683347,1747683693
1747683347,1747683690
1747683345,1747683503
1747683347,1747683679
1747683344,1747683459
1747683346,1747683661
1747683345,1747683513
1747683344,1747683489
1747683347,1747683701
1747683344,1747683405
1747683344,1747683416
1747683344,1747683404
1747683344,1747683447
1747683346,1747683633
1747683344,1747683396
1747683344,1747683461
1747683346,1747683667
1747683344,1747683472
1747683345,1747683488
1747683345,1747683521
1747683344,1747683425
1747683345,1747683538
1747683345,1747683520
1747683346,1747683633
1747683346,1747683664
1747683344,1747683472
1747683344,1747683483
1747683346,1747683628
1747683345,1747683520
1747683344,1747683474
1747683344,1747683473
1747683344,1747683478
1747683345,1747683501
1747683345,1747683518
1747683344,1747683472
1747683345,1747683527
1747683345,1747683496
1747683346,1747683567
1747683346,1747683587
1747683344,1747683473
1747683345,1747683499
1747683345,1747683545
1747683345,1747683546
1747683345,1747683563
1747683345,1747683515
1747683344,1747683362
1747683344,1747683370
1747683344,1747683397
1747683344,1747683370
1747683344,1747683376
1747683344,1747683403
1747683344,1747683421
1747683344,1747683404
1747683344,1747683369
1747683345,1747683557
1747683345,1747683500
1747683344,1747683428
1747683344,1747683447
1747683344,1747683441
1747683344,1747683467
1747683344,1747683468
1747683344,1747683368
1747683344,1747683469
1747683344,1747683472
1747683344,1747683427
1747683344,1747683423
1747683346,1747683639
1747683345,1747683513
1747683345,1747683540
1747683347,1747683684
1747683344,1747683445
1747683347,1747683684
1747683344,1747683442
1747683344,1747683453
1747683344,1747683465
1747683347,1747683687
1747683344,1747683466
1747683344,1747683467
1747683347,1747683691
1747683347,1747683694
1747683345,1747683527
1747683347,1747683693
1747683347,1747683698
1747683344,1747683426
1747683347,1747683705
1747683344,1747683470
1747683347,1747683696
1747683347,1747683705
1747683347,1747683717
1747683344,1747683444
1747683344,1747683366
1747683344,1747683422
1747683345,1747683508
1747683344,1747683426
1747683344,1747683438
1747683344,1747683362
1747683344,1747683365
1747683344,1747683372
1747683344,1747683374
1747683344,1747683441
1747683344,1747683444
1747683344,1747683370
1747683344,1747683440
1747683344,1747683400
1747683344,1747683374
1747683344,1747683427
1747683346,1747683647
1747683346,1747683570
1747683346,1747683568
1747683346,1747683572
1747683346,1747683585
1747683346,1747683586
1747683346,1747683598
1747683346,1747683605
1747683346,1747683629
1747683346,1747683630
1747683344,1747683400
1747683346,1747683630
1747683346,1747683629
1747683346,1747683568
1747683346,1747683571
1747683346,1747683585
1747683346,1747683583
1747683346,1747683592
1747683344,1747683396
1747683345,1747683555
1747683346,1747683646
1747683344,1747683371
1747683346,1747683651
1747683346,1747683601
1747683345,1747683524
1747683346,1747683570
1747683346,1747683573
1747683346,1747683595
1747683346,1747683603
1747683346,1747683636
1747683346,1747683637
1747683346,1747683575
1747683344,1747683427
1747683346,1747683637
1747683346,1747683600
1747683346,1747683605
1747683346,1747683614
1747683346,1747683613
1747683346,1747683616
1747683346,1747683658
1747683346,1747683605
1747683346,1747683612
1747683346,1747683652
1747683344,1747683433
1747683345,1747683564
1747683346,1747683598
1747683346,1747683661
1747683351,1747684069
1747683344,1747683442
1747683345,1747683549
1747683346,1747683644
1747683346,1747683639
1747683346,1747683571
1747683346,1747683582
1747683344,1747683400
1747683344,1747683373
1747683346,1747683608
